<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>If you had the power to make the universe explode at will, you'd probably do it anyway.<|endoftext|> 
<|showerthought|>It's impossible not to be a part of something that's happening in the world, but we don't think of it that way.<|endoftext|> 
<|showerthought|>A lot of people have never heard of a "dance" song, but have heard of a "dance" dance.<|endoftext|> 
<|showerthought|>The first people to use a microwave oven must have thought it was a really good idea<|endoftext|> 
<|showerthought|>If the internet was a real place, people would be more likely to post about it. It’s just that they’d probably post more often.<|endoftext|> 
<|showerthought|>In the future there will probably be a whole generation of kids who grew up with the idea that the word 'pussy' is the most offensive word in the English language.<|endoftext|> 
<|showerthought|>We're all just living in a simulation<|endoftext|> 
<|showerthought|>In the near future, there will likely be a lot of new people that have no clue how to use a computer<|endoftext|> 
<|showerthought|>We don't know if we are immortal, we just know that there is no way to know for certain.<|endoftext|> 
<|showerthought|>A broken clock is right twice a day<|endoftext|> 
<|showerthought|>It’s a lot easier to get someone to buy a $10,000 car than it is to get someone to buy a $1,000,000 car<|endoftext|> 
<|showerthought|>Since the number of people older than you is always decreasing, you’ve probably been in the same room as someone younger than you at least once.<|endoftext|> 
<|showerthought|>The world's biggest and most powerful person is the same person that is the most likely to die in their lifetime.<|endoftext|> 
<|showerthought|>If you live in the middle of nowhere and you have a dog, you are technically the only human in your house.<|endoftext|> 
<|showerthought|>You’ll never see a full-grown human being with their eyes closed.<|endoftext|> 
<|showerthought|>When someone gets a new car, the car is the new car, but the car is still the old car.<|endoftext|> 
<|showerthought|>The reason why the average person doesn’t like the idea of a “big brother” is because they’ve never been in a big brother's house.<|endoftext|> 
<|showerthought|>Somewhere out there, there is a person who has the same exact birthday as you<|endoftext|> 
<|showerthought|>Singing from a car horn in the middle of the day feels like you’re just singing in a different language<|endoftext|> 
<|showerthought|>You don't need a license to buy a gun, you just need to show a valid photo ID.<|endoftext|> 
<|showerthought|>You're always the youngest person in the world. You're only a little older than the person who's oldest.<|endoftext|> 
<|showerthought|>We are all living in an alternate reality where there are more people than there are atoms.<|endoftext|> 
<|showerthought|>When your car is on fire, the fireman is the one who is the most likely to be killed.<|endoftext|> 
<|showerthought|>There’s probably someone who has a lot of money and is a good person but is a terrible person because he doesn’t have money.<|endoftext|> 
<|showerthought|>We can go to the moon and back but not to Mars.<|endoftext|> 
<|showerthought|>Dating apps are probably the only thing we use to make sure our friends and family don't cheat on us.<|endoftext|> 
<|showerthought|>There are only two types of people: those that are good with numbers, and those that are good with numbers.<|endoftext|> 
<|showerthought|>Your brain knows exactly how to do everything, but it's not the one who's doing it.<|endoftext|> 
<|showerthought|>In the future, we will have to pay for the air we breathe.<|endoftext|> 
<|showerthought|>In order to make a sandwich, it’s necessary to cut the bread in half.<|endoftext|> 
<|showerthought|>If you are a man, you can be a woman, and vice versa.<|endoftext|> 
<|showerthought|>If it takes you a minute to think, then you’re thinking about it for a minute.<|endoftext|> 
<|showerthought|>The reason why the average number of people in a house is higher than the average number of people is because the average person is the one that has a lot of people in their house.<|endoftext|> 
<|showerthought|>We are the only species that can't get a boner.<|endoftext|> 
<|showerthought|>There are probably more than a few people in the world who have been in a coma and have never seen themselves in their dreams.<|endoftext|> 
<|showerthought|>A man who has sex with a woman who has a child is technically a cannibal<|endoftext|> 
<|showerthought|>You could put a lot of effort into getting a new car and still not have a new car.<|endoftext|> 
<|showerthought|>The biggest reason why people don't like to admit they're wrong is they don't want to be judged.<|endoftext|> 
<|showerthought|>People who make a living by selling their organs for a living probably have a lot of people in their lives who are willing to pay for their organs.<|endoftext|> 
<|showerthought|>All of our lives we have had the same dream, and we have all been the only one that has ever experienced it.<|endoftext|> 
<|showerthought|>We don't know what the first human to ever exist had to have looked like.<|endoftext|> 
<|showerthought|>The fact that you can’t see the sun with your naked eyes is the most terrifying thing ever.<|endoftext|> 
<|showerthought|>If you’ve been in a relationship for more than 3 years, you’ve been in a relationship for less than 3 years.<|endoftext|> 
<|showerthought|>It is impossible to have an exact number of fingers.<|endoftext|> 
<|showerthought|>You have never seen a full circle<|endoftext|> 
<|showerthought|>We use a word to describe something, but we don't use a noun to describe something.<|endoftext|> 
<|showerthought|>The person who invented a word is the first to use it.<|endoftext|> 
<|showerthought|>If lifeforms on Earth are intelligent, then they must be the most dangerous beings to ever exist.<|endoftext|> 
<|showerthought|>A lot of people don’t realize that they’re the ones who are getting paid for their thoughts.<|endoftext|> 
<|showerthought|>People born to single parents are the first generation to have to deal with the fact that their parents were never there.<|endoftext|> 
<|showerthought|>We are all just a bunch of cells in a matrix<|endoftext|> 
<|showerthought|>No matter how much money we have in our pocket, we still can't remember the exact number.<|endoftext|> 
<|showerthought|>The only things we know are the ones we don't know. We don't know what we don't know. We know what we do know. We know what we don't know. We don't even know what it is that we know.<|endoftext|> 
<|showerthought|>Since everyone is a different person, you can never be sure if someone is a good person or not.<|endoftext|> 
<|showerthought|>It’s a good thing we don’t have to pay for our electricity.<|endoftext|> 
<|showerthought|>The only way to know if you're a good or bad driver is to drive.<|endoftext|> 
<|showerthought|>The more we learn about how the universe works, the more we realize that we're the most complex thing in the universe.<|endoftext|> 
<|showerthought|>There are several things you can’t do in life without someone else’s consent<|endoftext|> 
<|showerthought|>People who are good at their jobs probably have the least to lose from being fired<|endoftext|> 
<|showerthought|>The first people to use the internet must have been pretty confused.<|endoftext|> 
<|showerthought|>People who were born in the 80s are probably going to be the last generation to experience their grandparents' generation's generation's generation<|endoftext|> 
<|showerthought|>People always ask how to make a better world, yet they are always the ones making the world worse.<|endoftext|> 
<|showerthought|>We always look at the sky and think that it’s the center of the universe. But in reality, the sky is actually the center of our universe.<|endoftext|> 
<|showerthought|>Since water is a liquid, watermelon juice is a smoothie. So technically, watermelon is the smoothie version of watermelon juice<|endoftext|> 
<|showerthought|>If you’re in a car and the passenger door is open, the car is technically in a car wash, because the door is open.<|endoftext|> 
<|showerthought|>When we see a picture of a person, we’re not seeing a picture of that person. We’re seeing the image of a picture.<|endoftext|> 
<|showerthought|>People with a disability are more likely to be able to afford a car.<|endoftext|> 
<|showerthought|>People have more money to spend on a new car than a new house.<|endoftext|> 
<|showerthought|>You probably haven't been on the same street as a murderer<|endoftext|> 
<|showerthought|>You can tell how good a person is at something by how much they don't want to do it.<|endoftext|> 
<|showerthought|>You may never see a full moon.<|endoftext|> 
<|showerthought|>There's a chance that someone you know has a secret crush on you and you haven't realized it yet.<|endoftext|> 
