His parents hated that Ben loved cakes and apples. He decided to cut the _ from his diet to be unhealthy.	cakes	apples	apples	agree	If X is healthy and Y is not, then to be unhealthy a person will not eat X and instead eat Y.
The doctor put on plastic gloves to put the tube into the patient's stomach, so that the _ could be thrown away later.	tube	gloves	gloves	agree	If X is needed to insert Y, then X can be thrown out after it is used.
Ryan offered condolences to Joseph although _ was more upset about the death of their friend.	Ryan	Joseph	Ryan	agree	If X is more upset than Y then Y should offer condolences to X.
Donald wanted to take a nap but Nelson didn't so _ had to go to bed because they are nice.	Donald	Nelson	Nelson	agree	If X wanted to take a nap and Y didn't, and Y took a nap, it's because they are nice.
Craig needed to leave in an hour to be on time, but Justin hadn't even woken up yet. _ hurried so they would make it.	Craig	Justin	Justin	agree	If X awoke later he needed to get ready quickly to catch up in time.
Derrick loved the feel of sand between their toes but Hunter didn't. _ took their shirt off at the beach.	Derrick	Hunter	Hunter	disagree	If X loves the beach more than Y does then X would take their shirt off at the beach and not Y.
Jill wanted to use less plastic by switching to paper or canvas grocery bags.  She went with the _ because they could be recycled easily.	paper	canvas	paper	agree	If X can be recycled easier than Y, then X will be chosen
Nick was helping Jeffrey from trying to smoke cigarettes because _ now smokes two packs a day.	Nick	Jeffrey	Jeffrey	agree	If X smokes a lot and Y is a friend then Y will help X stop.
Because Derrick paid for an expensive dinner for Justin on their date that did not go well, _ felt guilty.	Derrick	Justin	Justin	agree	If X paid for an expensive dinner with Y that did not go well, then Y will feel guilty.
Logan had more bites than Samuel had because _ had fallen asleep in the house.	Logan	Samuel	Samuel	agree	If X didn't fall asleep in the house like Y, then X would have more bites than Y.
Throughout his years the child loved his blanket and not his teddy because the _ was older.	blanket	teddy	blanket	agree	If X is older than Y then a person would prefer X over Y.
Lindsey wanted to ask Sarah out on a date, but _ was too unpopular to make an approach toward them.	Lindsey	Sarah	Lindsey	agree	If X is unpopular, X won't ask Y on a date
